"Product","Status","Package","Configuration","Polarity","VDS (V)","VGS (±V)","ID @ 25°C (A)","PD @ 25°C (W)","RDS(ON) max (mΩ) at VGS=10V","RDS(ON) max (mΩ) at VGS=4.5V","Qg (10V)(nC)","Qg (4.5V)(nC)","VGS(th) min (V)","VGS(th) typ (V)","VGS(th) max (V)","Ciss (pF)","Coss (pF)","Crss (pF)","Qgd (nC)","tD(on) (ns)","tD(off) (ns)","Trr (ns)","Qrr (nC)","Qualification","ESD Diode","Tj max (°C)"
"AOI442","Full Production","TO251A","Single","N","60","20","37","60","20","25","47.60","24.20","1.60","2.10","2.70","1920","155","116","14.40","7.40","28.20","34","46","Industrial","No","175"
"AOI444","Full Production","TO251A","Single","N","60","20","12","20","60","85","7.50","3.80","1","2.40","3","450","61","27","1.90","4.20","16","27","30","Industrial","No","175"
"AOI468","Full Production","TO251A","Single","N","300","30","11.50","150","420",,"12.80",,"3.40","4","4.50","632","90","7","4.30","18","36","170","1300","Industrial","No","175"
"AOI478","Full Production","TO251A","Single","N","100","20","11","45","140","152","10.30","5.10","1.70","2.20","2.80","445","29","16","2.40","8","17","21","97","Industrial","No","175"
"AOI5N40","Full Production","TO251A","Single","N","400","30","4.20","78","1600",,"6.90",,"3.40","4","4.50","331","42","3","2.30","16.50","24","160","930","Industrial","No","150"
"AOI66406","Full Production","TO251A","Single","N","40","20","60","52","6.10","9.40","20","8.50","1.50","2","2.50","1480","245","13","3",,,"11","21","Industrial","No","150"
"AOI8N25","Full Production","TO251A","Single","N","250","30","8","78","560",,"6",,"3.10","3.70","4.30","306","51","3.20","1.50","14","23","77","290","Industrial","No","150"
"AOK66518","Full Production","TO247","Single","N","150","20","120","500","5.40",,"80",,"2.70","3.20","3.70","6460","820","5","15","27","49","86","920","Industrial","No","175"
"AOK66613","Full Production","TO247","Single","N","60","20","120","312","2.50",,"78",,"2.30","2.85","2.85","5300","1500","50","20","23","40","30","135","Industrial","No","175"
"AOK66914","Full Production","TO247","Single","N","100","20","120","500","2.80",,"155",,"2.50","3","3.50","12500","3190","55","31","36","90","55","335","Industrial","No","175"
"AON2240","Full Production","DFN2x2-6L","Single","N","40","20","8","2.80","21","29","6.50","3","1.40","1.90","2.40","415","112","11","1.10","4","15","12.50","3.50","Industrial","No","150"
"AON2260","Full Production","DFN2x2-6L","Single","N","60","20","6","2.80","44","53","6.10","2.60","1.50","2","2.50","426","50","5","0.80","3","15","27","12","Industrial","No","150"
"AON2290","Full Production","DFN2x2-6L","Single","N","100","20","4.50","2.80","72","97","6.50","3","1.70","2.30","2.80","415","32","3","1.50","4","15","16","44","Industrial","No","150"
"AON6144","Full Production","DFN5x6-8L","Single","N","40","20","100","78","2.40","3.50","50","22","1.40","1.85","2.40","3780","675","60","4","5","16","17","45","Industrial","No","150"
"AON6152A","Full Production","DFN5x6-8L","Single","N","45","20","100","208","1.15","1.85","110","48","1.30","1.80","2.30","7410","1120","75","5.50","5","16","25","71","Industrial","No","150"
"AON6156","Full Production","DFN5x6-8L","Single","N","45","20","100","78","2.60","4","50","23","1.50","1.90","2.50","3975","545","62","5","5","16","19","43","Industrial","No","150"
"AON6162","Full Production","DFN5x6-8L","Single","N","60","20","100","215","2.10",,"70",,"2.10","2.60","3.20","4850","1700","130","16",,,"30","150","Industrial","No","150"
"AON6224","Full Production","DFN5x6-8L","Single","N","100","20","34","56.50","12","15.50","33","15","1.40","1.90","2.40","2420","170","11","4","12","53","27","128","Industrial","No","150"
