"Product","Status","Package","Configuration","Polarity","VDS (V)","VGS (±V)","ID @ 25°C (A)","PD @ 25°C (W)","RDS(ON) max (mΩ) at VGS=10V","RDS(ON) max (mΩ) at VGS=4.5V","Qg (10V)(nC)","Qg (4.5V)(nC)","VGS(th) min (V)","VGS(th) typ (V)","VGS(th) max (V)","Ciss (pF)","Coss (pF)","Crss (pF)","Qgd (nC)","tD(on) (ns)","tD(off) (ns)","Trr (ns)","Qrr (nC)","Qualification","ESD Diode","Tj max (°C)"
"AOK60N30L","Obsolete","TO247","Single","N","300","30","60","658","560",,,"88","2.90","3.50","4.10","4438","593","38","28",,,"320","14.50","Industrial","No","150"
"AOL1240","Obsolete","UltraSO-8L","Single","N","40","20","69","125","3","4.40",,"18","1.30","1.80","2.30","3165","920","45.50","3.50","9","32","20.50","56","Industrial","No","175"
"AOL1242","Obsolete","UltraSO-8L","Single","N","40","20","69","68","5.20","7.90",,"8","1.30","1.80","2.30","1350","405","26","2.30","6","23","15.50","31","Industrial","No","175"
"AOL1454","Obsolete","UltraSO-8L","Single","N","40","20","50","60","9","13",,"10.50","1","2","3","1600","320","100","4.80","6.50","33","31","33","Industrial","Yes","175"
"AOL1454G","Obsolete","UltraSO-8L","Single","N","40","20","46","52","5.90","9.20",,"8.50","1.50","2","2.50","1480","245","13","3",,,"11","21","Industrial","No","150"
"AOL1482","Obsolete","UltraSO-8L","Single","N","100","20","28","75","37","42",,"18","1.60","2.10","2.70","1630","100","50","9","7","29","32","200","Industrial","No","175"
"AON6154","Obsolete","DFN5x6-8L","Single","N","45","20","100","125","1.50","2.10","86","38","1.40","1.85","2.40","6575","870","82","6","5","16","22","60","Industrial","No","150"
"AON6160","Obsolete","DFN5x6-8L","Single","N","60","20","100","215","1.58",,,"85","2.10","2.55","3.40","6485","1050","30","13",,,"33","176","Industrial","No","150"
"AON6232","Obsolete","DFN5x6-8L","Single","N","40","20","85","83","2.50","3.60",,"18.20","1.30","1.80","2.50","3165","905","52.50","2.80","8.70","33.50","22.50","59","Industrial","No","150"
"AON6440","Obsolete","DFN5x6-8L","Single","N","40","20","85","83","3.40","4.50",,"40","1.20","1.70","2.20","5000","780","300","15","13.70","54","16","38","Industrial","No","150"
"AON7242","Obsolete","DFN3.3x3.3-8L","Single","N","40","20","50","83","3.90","5.80",,"11.90","1.30","1.80","2.30","1970","540","41","2.20","7","23","16","47","Industrial","No","150"
"AON7446","Obsolete","DFN3x3A-8L","Single","N","60","20","8","16.70","145",,"4.40",,"2.20","2.70","3.30","237","25","9","1.10","4.50","15","7.70","13","Industrial","No","150"
"AON7462","Obsolete","DFN3x3A-8L","Single","N","300","30","2.50","25","1500",,"4.60",,"3.50","4.20","4.50","197","30","2","1.50","17","26","95","220","Industrial","No","150"
"AOT2140L","Obsolete","TO220","Single","N","40","20","195","272","1.50","2",,"54","1.30","1.80","2.30","9985","1635","95","11",,,"29","107","Industrial","No","175"
"AOT2502L","Obsolete","TO220","Single","N","150","20","106","277","11",,"43",,"3.50","4.30","5.10","3010","345","14","10","19","30","75","880","Industrial","No","150"
"AOT254L","Obsolete","TO220","Single","N","150","20","32","125","46","53","27","12","1.70","2.20","2.70","2150","110","4","3","9","29","51","434","Industrial","No","175"
"AOT2608L","Obsolete","TO220","Single","N","60","20","72","100","8",,"38.50",,"2.60","3.10","3.60","2995","270","10.50","3.50","15","25","24","115","Industrial","No","175"
"AOT270AL","Obsolete","TO220","Single","N","75","20","140","500","2.60",,"147",,"2.20","2.70","3.30","10830","1520","97","30","30","66","53","438","Industrial","No","175"
"AOT2904","Obsolete","TO220","Single","N","100","20","120","326","4.40",,,"93","2.30","2.75","3.30","7085","605","32","16",,,"49","460","Industrial","No","175"
"AOT2916L","Obsolete","TO220","Single","N","100","20","23","41.50","34","43.50",,"5.50","1.60","2","2.70","870","68","3.50","2","7.50","23","20","88","Industrial","No","175"
"AOT418L","Obsolete","TO220","Single","N","100","25","105","333","10",,"69",,"2.60","3.30","3.90","4334","382","131","22","21","38","27","129","Industrial","No","175"
"AOT460","Obsolete","TO220","Single","N","60","20","85","268","7.50",,,"33","2","2.95","4","3800","430","190","19","18","44","53","98","Industrial","No","175"
"AOTF296L","Obsolete","TO220F","Single","N","100","20","41","36.50","10",,"37",,"2.30","2.90","3.40","2785","238","12","5","13","29","35","210","Industrial","No","175"
"AOUS66414","Obsolete","UltraSO-8L","Single","N","40","20","92","92","2.20","3.20",,"35","1.30","1.80","2.30","4350","730","40","3.60","12","47","18","45","Industrial","No","150"
"AOUS66616","Obsolete","UltraSO-8L","Single","N","60","20","90","92.50","3.30",,,,"2.40","2.90","3.40","2870","940","38","10","14.50","33","26","87","Industrial","No","150"
"AOUS66620","Obsolete","UltraSO-8L","Single","N","60","20","46","52","9",,"16",,"2.40","3","3.60","1070","310","12","3.60","10","18","18","58","Industrial","No","150"
"AOUS66920","Obsolete","UltraSO-8L","Single","N","100","20","69","86","8.20","10.70",,"16.70","1.50","2","2.50","2500","485","13","5","10","31","34","170","Industrial","No","150"
"AOUS66923","Obsolete","UltraSO-8L","Single","N","100","20","58","73","11","15",,"12.50","1.60","2.10","2.60","1725","360","7.50","3.50",,,"41","156","Industrial","No","150"
"AOW2502","Obsolete","TO262","Single","N","150","20","106","277","10.70",,"43",,"3.50","4.30","5.10","3010","345","14","10","19","30","75","880","Industrial","No","150"
"AOW284","Obsolete","TO262","Single","N","80","20","105","250","4.30",,"71",,"2.30","2.80","3.30","5154","673","48","11.50","18","38","38","230","Industrial","No","175"
"AOW292","Obsolete","TO262","Single","N","100","20","105","300","4.10",,"90",,"2.30","2.80","3.40","6775","557","32","13.50","20","48","50","380","Industrial","No","175"
"AOW296","Obsolete","TO262","Single","N","100","20","70","104","9.70",,,"37","2.30","2.90","3.40","2785","238","12","5",,,"35","210","Industrial","No","150"
"AOWF296","Obsolete","TO262F","Single","N","100","20","37","26","9.70",,,"37","2.30","2.90","3.40","2785","238","12","5",,,"35","210","Industrial","No","150"
