Product or Part number,VDS (V),PDF data sheet,HTML data sheet,VGS (V),Type,Configuration,Rds(on) at VGS=10 V (max) (mΩ),Rds(on) at VGS=4.5 V (max) (mΩ),ID - silicon limited at TC=25°C (A),ID - continuous drain current at TA=25°C (A),Power loss (W),Ploss current (A),Features,Operating temperature range (°C),Package type,Pin count,Package area (mm^2),Package size (L x W) (mm),Price|Quantity (USD),Status
"=HYPERLINK(""https://www.ti.com/product/CSD18542KCS"", ""CSD18542KCS"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18542KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18542KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,4,5.1,170,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,0.7,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD17484F4"", ""CSD17484F4"")",30,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD17484F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD17484F4/datasheet"", ""HTML data sheet"")",12,N-channel,Single,,128,3,,,,,-55 to 150,PICOSTAR,3,0.6,1 x 0.6,0.048,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD25484F4"", ""CSD25484F4"")",-20,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD25484F4"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD25484F4/datasheet"", ""HTML data sheet"")",-12,P-channel,Single,,109,2.5,,,,,-55 to 150,PICOSTAR,3,0.6,1 x 0.6,0.053,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18535KCS"", ""CSD18535KCS"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18535KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18535KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2,2.9,279,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,1.027,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD18536KCS"", ""CSD18536KCS"")",60,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD18536KCS"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD18536KCS/datasheet"", ""HTML data sheet"")",20,N-channel,Single,1.6,2.2,349,,,,,-55 to 175,TO-220,3,46.228,10.16 x 4.55,1.555,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19535KTT"", ""CSD19535KTT"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19535KTT"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19535KTT/datasheet"", ""HTML data sheet"")",20,N-channel,Single,3.4,,197,,,,,-55 to 175,TO-263,2,153.416,10.16 x 15.1,1.118,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD19536KTT"", ""CSD19536KTT"")",100,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD19536KTT"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD19536KTT/datasheet"", ""HTML data sheet"")",20,N-channel,Single,2.4,,272,,,,,-55 to 175,TO-263,2,153.416,10.16 x 15.1,1.659,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD22204W"", ""CSD22204W"")",-8,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD22204W"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD22204W/datasheet"", ""HTML data sheet"")",-6,P-channel,Single,,9.9,5,,,,,-55 to 150,DSBGA,9,3.0625,1.75 x 1.75,0.135,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD13302W"", ""CSD13302W"")",12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD13302W"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD13302W/datasheet"", ""HTML data sheet"")",10,N-channel,Single,,17.1,1.6,,,,,-55 to 150,DSBGA,4,1.5625,1.25 x 1.25,0.07,ACTIVE
"=HYPERLINK(""https://www.ti.com/product/CSD13306W"", ""CSD13306W"")",12,"=HYPERLINK(""https://www.ti.com/lit/gpn/CSD13306W"", ""PDF data sheet"")","=HYPERLINK(""https://www.ti.com/document-viewer/CSD13306W/datasheet"", ""HTML data sheet"")",10,N-channel,Single,,10.2,3.5,,,,,-55 to 150,DSBGA,6,2.1875,1.75 x 1.25,0.101,ACTIVE
