part,fam,size,ui,cl_a,cl_b,cl_c,cl_d,ds_a,ds_b,ds_c,ds_d,cal_bpk_g,cal_f_khz,cal_cl_nom_mw_cm3,cal_h_oe,cal_perm_nom_pct,cal_perm_min_pct
MS-300147-2,MS,300,147,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,4.732e-05,1.539,0,1000.0,50.0,276.0,40.0,42.0,35.3
MS-301014-2,MS,301,14,1e+06,1.814e+08,3.377e+06,2.628e-14,0.01,9.443e-07,1.533,0,300.0,100.0,180.0,200.0,75.9,70.4
MS-301026-2,MS,301,26,1e+06,4.969e+08,3.993e+06,2.867e-14,0.01,2.061e-07,1.995,0,500.0,100.0,295.0,200.0,55.4,46.3
MS-301040-2,MS,301,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-301060-2,MS,301,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-301075-2,MS,301,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-301090-2,MS,301,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.994e-06,1.883,0,1000.0,50.0,323.0,50.0,61.3,52.9
MS-301125-2,MS,301,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,7.884e-06,1.883,0,1000.0,50.0,276.0,40.0,55.0,46.4
MS-301147-2,MS,301,147,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,4.732e-05,1.539,0,1000.0,50.0,276.0,40.0,42.0,35.3
MS-350014-2,MS,350,14,1e+06,1.814e+08,3.377e+06,2.628e-14,0.01,9.443e-07,1.533,0,300.0,100.0,180.0,200.0,75.9,70.4
MS-350026-2,MS,350,26,1e+06,4.969e+08,3.993e+06,2.867e-14,0.01,2.061e-07,1.995,0,500.0,100.0,295.0,200.0,55.4,46.3
MS-350040-2,MS,350,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-350060-2,MS,350,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-350075-2,MS,350,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-350090-2,MS,350,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.994e-06,1.883,0,1000.0,50.0,323.0,50.0,61.3,52.9
MS-350125-2,MS,350,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,7.884e-06,1.883,0,1000.0,50.0,276.0,40.0,55.0,46.4
MS-350147-2,MS,350,147,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,4.732e-05,1.539,0,1000.0,50.0,276.0,40.0,42.0,35.3
MS-400014-2,MS,400,14,1e+06,1.814e+08,3.377e+06,2.628e-14,0.01,9.443e-07,1.533,0,300.0,100.0,180.0,200.0,75.9,70.4
MS-400026-2,MS,400,26,1e+06,4.969e+08,3.993e+06,2.867e-14,0.01,2.061e-07,1.995,0,500.0,100.0,295.0,200.0,55.4,46.3
MS-400040-2,MS,400,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-400060-2,MS,400,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-400075-2,MS,400,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-400090-2,MS,400,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.994e-06,1.883,0,1000.0,50.0,323.0,50.0,61.3,52.9
MS-400125-2,MS,400,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,7.884e-06,1.883,0,1000.0,50.0,276.0,40.0,55.0,46.4
MS-400147-2,MS,400,147,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,4.732e-05,1.539,0,1000.0,50.0,276.0,40.0,42.0,35.3
MS-401014-2,MS,401,14,1e+06,1.814e+08,3.377e+06,2.628e-14,0.01,9.443e-07,1.533,0,300.0,100.0,180.0,200.0,75.9,70.4
MS-401026-2,MS,401,26,1e+06,4.969e+08,3.993e+06,2.867e-14,0.01,2.061e-07,1.995,0,500.0,100.0,295.0,200.0,55.4,46.3
MS-401040-2,MS,401,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-401060-2,MS,401,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-401075-2,MS,401,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-401090-2,MS,401,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.994e-06,1.883,0,1000.0,50.0,323.0,50.0,61.3,52.9
MS-401125-2,MS,401,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,7.884e-06,1.883,0,1000.0,50.0,276.0,40.0,55.0,46.4
MS-401147-2,MS,401,147,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,4.732e-05,1.539,0,1000.0,50.0,276.0,40.0,42.0,35.3
MS-520014-2,MS,520,14,1e+06,2.035e+08,3.969e+06,3.473e-14,0.01,1.065e-06,1.553,0,300.0,100.0,168.0,200.0,71.5,65.4
MS-520026-2,MS,520,26,1e+06,3.991e+08,2.565e+06,3.32e-14,0.01,4.158e-06,1.508,0,500.0,100.0,379.0,200.0,44.9,38.2
MS-520040-2,MS,520,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-520060-2,MS,520,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-520075-2,MS,520,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
MS-520090-2,MS,520,90,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,4.807e-05,1.349,0,1000.0,50.0,323.0,50.0,51.5,45.4
MS-520125-2,MS,520,125,1.394e+10,1.034e+09,1.244e+07,4.007e-14,0.01,3.798e-05,1.548,0,1000.0,50.0,276.0,40.0,46.6,39.7
MS-521014-2,MS,521,14,1e+06,2.035e+08,3.969e+06,3.473e-14,0.01,1.065e-06,1.553,0,300.0,100.0,168.0,200.0,71.5,65.4
MS-521026-2,MS,521,26,1e+06,3.991e+08,2.565e+06,3.32e-14,0.01,4.158e-06,1.508,0,500.0,100.0,379.0,200.0,44.9,38.2
MS-521040-2,MS,521,40,1e+06,6.961e+08,5.397e+06,4.127e-14,0.01,2.655e-06,1.703,0,1000.0,50.0,441.0,100.0,59.6,52.0
MS-521060-2,MS,521,60,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,2.151e-06,1.841,0,1000.0,50.0,323.0,100.0,49.2,40.9
MS-521075-2,MS,521,75,7.89e+09,7.111e+08,8.98e+06,2.846e-14,0.01,3.414e-06,1.841,0,1000.0,50.0,323.0,80.0,47.9,39.6
