,,,,,%Perm vs. DC Sat. Coef.,,,,Core Loss Coefficients,,,,%Perm. vs. AC Flux Density Coefficients,,,,,,Perm vs. Frequency Coefficients,,,,B vs H Coefficients,,,,,,T expressed in Celsius,,,
Material,PartType,Init. Perm. (µ),Bsat(G),Density(g/cm³),a,b,c,d,a,b,c,d,a,b,c,d,e,f,a,b,c,d,a,b,c,d,e,a,b,c,d,e
FS,B,14,15315,5.7,1.000E-02,6.294E-07,1.489E+00,0.000E+00,1.000E+06,2.031E+08,3.145E+06,2.041E-15,1.668E+03,2.284E-01,1.451E+00,1.607E+15,-3.264E+00,1.064E+02,7.143E-02,1.025E-10,1.078E+00,0.000E+00,4.225E-03,1.879E+00,3.992E+02,3.453E-01,1.094E+03,-0.3655654,-1.10E-02,3.16E-02,2.07E-04,-7.15E-04
FS,B,26,16766,5.9,1.000E-02,9.592E-07,1.553E+00,0.000E+00,1.000E+06,1.699E+08,3.117E+06,6.335E-14,9.117E+02,4.895E-01,1.127E+00,1.706E+11,-2.218E+00,1.123E+02,3.846E-02,1.025E-10,1.078E+00,0.000E+00,1.371E-02,1.720E+00,9.255E+01,6.327E-01,6.449E+02,-0.4431086,-1.10E-02,3.83E-02,2.07E-04,-8.67E-04
FS,B,40,17294,6.3,1.000E-02,1.534E-06,1.619E+00,0.000E+00,1.000E+06,3.482E+08,4.063E+06,2.798E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,2.500E-02,1.025E-10,1.078E+00,0.000E+00,1.736E-02,1.716E+00,9.614E+01,7.162E-01,4.324E+02,-0.5405795,-1.10E-02,4.67E-02,2.07E-04,-1.06E-03
FS,B,60,17642,6.6,1.000E-02,4.052E-06,1.571E+00,0.000E+00,1.000E+06,5.890E+08,2.163E+06,2.429E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,1.667E-02,1.025E-10,1.078E+00,0.000E+00,3.867E-02,1.688E+00,3.957E+01,6.206E-01,2.940E+02,-0.6757421,-1.10E-02,5.84E-02,2.07E-04,-1.32E-03
FS,E,14,15315,5.7,1.000E-02,6.294E-07,1.489E+00,0.000E+00,1.000E+06,2.031E+08,3.145E+06,2.041E-15,1.668E+03,2.284E-01,1.451E+00,1.607E+15,-3.264E+00,1.064E+02,7.143E-02,1.025E-10,1.078E+00,0.000E+00,4.225E-03,1.879E+00,3.992E+02,3.453E-01,1.094E+03,-0.3655654,-1.10E-02,3.16E-02,2.07E-04,-7.15E-04
FS,E,26,16766,5.9,1.000E-02,9.592E-07,1.553E+00,0.000E+00,1.000E+06,1.699E+08,3.117E+06,6.335E-14,9.117E+02,4.895E-01,1.127E+00,1.706E+11,-2.218E+00,1.123E+02,3.846E-02,1.025E-10,1.078E+00,0.000E+00,1.371E-02,1.720E+00,9.255E+01,6.327E-01,6.449E+02,-0.4431086,-1.10E-02,3.83E-02,2.07E-04,-8.67E-04
FS,E,40,17294,6.4,1.250E-02,1.927E-06,1.618E+00,1.999E+01,1.000E+06,3.482E+08,4.063E+06,2.798E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,2.500E-02,1.025E-10,1.078E+00,0.000E+00,1.736E-02,1.716E+00,9.614E+01,7.162E-01,4.324E+02,-0.5405795,-1.10E-02,4.67E-02,2.07E-04,-1.06E-03
FS,E,60,17642,6.8,1.166E-02,4.413E-06,1.571E+00,1.429E+01,1.000E+06,5.890E+08,2.163E+06,2.429E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,1.667E-02,1.025E-10,1.078E+00,0.000E+00,3.867E-02,1.688E+00,3.957E+01,6.206E-01,2.940E+02,-0.6757421,-1.10E-02,5.84E-02,2.07E-04,-1.32E-03
FS,EQ,26,16766,5.5,1.000E-02,1.088E-06,1.501E+00,0.000E+00,1.000E+06,1.717E+08,3.112E+06,4.388E-14,9.117E+02,4.895E-01,1.127E+00,1.706E+11,-2.218E+00,1.123E+02,3.846E-02,1.025E-10,1.078E+00,0.000E+00,1.371E-02,1.720E+00,9.255E+01,6.327E-01,6.449E+02,-0.4431086,-1.10E-02,3.83E-02,2.07E-04,-8.67E-04
FS,EQ,40,17294,5.7,1.000E-02,2.722E-06,1.515E+00,0.000E+00,1.000E+06,2.974E+08,2.777E+06,4.564E-14,5.873E+02,3.622E-01,1.073E+00,1.217E+10,-1.934E+00,1.205E+02,2.500E-02,1.025E-10,1.078E+00,0.000E+00,1.736E-02,1.716E+00,9.614E+01,7.162E-01,4.324E+02,-0.5405795,-1.10E-02,4.67E-02,2.07E-04,-1.06E-03
