Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"FET Type","Technology","Drain to Source Voltage (Vdss)","Current - Continuous Drain (Id) @ 25°C","Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs","Vgs(th) (Max) @ Id","Gate Charge (Qg) (Max) @ Vgs","Vgs (Max)","Input Capacitance (Ciss) (Max) @ Vds","FET Feature","Power Dissipation (Max)","Operating Temperature","Mounting Type","Supplier Device Package","Package / Case","Grade","Qualification"
"https://www.onsemi.com/pdf/datasheet/fdp083n15a-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/261_TO-220-3.jpg","FDP083N15A-ND","FDP083N15A","onsemi","onsemi","MOSFET N-CH 150V 83A TO220-3","0","2.8186","0","50","Tube","PowerTrench®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","83A (Tc)","10V","8.3mOhm @ 75A, 10V","4V @ 250µA","84 nC @ 10 V","±20V","6040 pF @ 25 V","-","294W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-220-3","TO-220-3","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3995/238%7ETO263AA%7E%7E2.JPG","5656-IXTA102N15T-TRLTR-ND","IXTA102N15T-TRL","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 150V 102A TO263","0","2.83339","0","800","Tape & Reel (TR)","Trench","Active","N-Channel","MOSFET (Metal Oxide)","150 V","102A (Tc)","10V","18mOhm @ 51A, 10V","5V @ 1mA","87 nC @ 10 V","±20V","5220 pF @ 25 V","-","455W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","TO-263 (D2PAK)","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.infineon.com/dgdl/IPP075N15N3+G_Rev2.06.pdf?folderId=db3a304313b8b5a60113cee7c66a02d6&fileId=db3a304319c6f18c0119cd76cc527ab6","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IPB072N15N3GE8187ATMA1TR-ND","IPB072N15N3GE8187ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 100A TO263-3","0","2.95541","0","1000","Tape & Reel (TR)","OptiMOS™","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","100A (Tc)","8V, 10V","7.2mOhm @ 100A, 10V","4V @ 270µA","93 nC @ 10 V","±20V","5470 pF @ 75 V","-","300W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-TO263-3-2","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"http://download.xsemi-corporation.com/datasheet/XP15NA4R4TL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6255/MFG_XP15NA3R9TL.jpg","5048-XP15NA4R4TLTR-ND","XP15NA4R4TL","YAGEO XSEMI","YAGEO XSEMI","MOSFET N CH  150V 191A TOLL","0","2.95576","0","2000","Tape & Reel (TR)","XP15NA4R4","Active","N-Channel","MOSFET (Metal Oxide)","150 V","167A (Tc)","10V","4.4mOhm @ 50A, 10V","4V @ 250µA","254.4 nC @ 10 V","±20V","11936 pF @ 100 V","-","3.75W (Ta), 300W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","TOLL","8-PowerSFN","-","-"
"https://cms.aosmd.com/api/product/2309/combine-support-documents?resources=7324","-","785-AOTL66515TR-ND","AOTL66515","Alpha & Omega Semiconductor Inc.","Alpha & Omega Semiconductor Inc.","N","0","3.03645","0","2000","Tape & Reel (TR)","AlphaSGT™","Active","N-Channel","MOSFET (Metal Oxide)","150 V","30A (Ta), 200A (Tc)","6V, 10V","3.9mOhm @ 20A, 10V","3V @ 250µA","270 nC @ 10 V","±20V","16700 pF @ 75 V","-","10W (Ta), 428W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","TOLLA","8-PowerSFN","-","-"
"https://www.onsemi.com/pdf/datasheet/fdp075n15a-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/261_TO-220-3.jpg","FDP075N15A-ND","FDP075N15A","onsemi","onsemi","MOSFET N-CH 150V 130A TO220-3","0","3.037","0","50","Tube","PowerTrench®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","130A (Tc)","10V","7.5mOhm @ 100A, 10V","4V @ 250µA","100 nC @ 10 V","±20V","7350 pF @ 75 V","-","333W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-220-3","TO-220-3","-","-"
"http://download.xsemi-corporation.com/datasheet/XP15NA3R9TL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6255/MFG_XP15NA3R9TL.jpg","5048-XP15NA3R9TLTR-ND","XP15NA3R9TL","YAGEO XSEMI","YAGEO XSEMI","MOSFET N CH  150V 191A TOLL","0","3.10316","0","2000","Tape & Reel (TR)","XP15NA3R9","Active","N-Channel","MOSFET (Metal Oxide)","150 V","191A (Tc)","10V","3.9mOhm @ 50A, 10V","4V @ 250µA","320 nC @ 10 V","±20V","15840 pF @ 100 V","-","3.75W (Ta), 333.3W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","TOLL","8-PowerSFN","-","-"
"https://aosmd.com/res/data_sheets/AOK2500L.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6310/785%7EPO-00146%7E%7E3.jpg","785-1709-5-ND","AOK2500L","Alpha & Omega Semiconductor Inc.","Alpha & Omega Semiconductor Inc.","MOSFET N-CH 150V 14A/180A TO247","0","3.24142","0","240","Tube","-","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","14A (Ta), 180A (Tc)","6V, 10V","6.2mOhm @ 20A, 10V","3.5V @ 250µA","136 nC @ 10 V","±20V","6460 pF @ 75 V","-","3.1W (Ta), 500W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-247","TO-247-3","-","-"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1048/IRFS%28L%294228PbF.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2435/D%C2%B2Pak%2CTO-263_418AA-01.jpg","IRFS4228PBF-ND","IRFS4228PBF","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 83A D2PAK","4","3.29","0","1","Tube","HEXFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","83A (Tc)","10V","15mOhm @ 33A, 10V","5V @ 250µA","107 nC @ 10 V","±30V","4530 pF @ 25 V","-","330W (Tc)","-40°C ~ 175°C (TJ)","Surface Mount","D2PAK","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://rocelec.widen.net/view/pdf/slobavzdyn/IRSDS18683-1.pdf?t.download=true&u=5oefqw","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/D2Pak_TO-263_6leads.jpg","IRFS4321TRL7PPTR-ND,IRFS4321TRL7PPCT-ND,IRFS4321TRL7PPDKR-ND","IRFS4321TRL7PP","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 86A D2PAK-7","0","3.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","HEXFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","86A (Tc)","10V","14.7mOhm @ 34A, 10V","5V @ 250µA","110 nC @ 10 V","±30V","4460 pF @ 50 V","-","350W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","D2PAK-7","TO-263-7, D2PAK (6 Leads + Tab)","-","-"
"https://www.littelfuse.com/media?resourcetype=datasheets&itemid=239CF561-3070-4BC3-913C-311FFA82B091&filename=Littelfuse-Discrete-MOSFETs-N-Channel-Trench-Gate-IXT-102N15T-Datasheet.PDF","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5545/238%7ETO220-3-TO220AB%7E%7E3.jpg","IXTP102N15T-ND","IXTP102N15T","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 150V 102A TO-220","0","3.33967","0","300","Tube","Trench","Active","N-Channel","MOSFET (Metal Oxide)","150 V","102A (Tc)","10V","18mOhm @ 500mA, 10V","5V @ 1mA","87 nC @ 10 V","±20V","5220 pF @ 25 V","-","455W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-220-3","TO-220-3","-","-"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_trench_gate_ixf_76n15t2_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3995/238%7ETO263AA%7E%7E2.JPG","IXFA76N15T2-ND","IXFA76N15T2","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 150V 76A TO263AA","0","3.48087","0","300","Tube","HiPerFET™, TrenchT2™","Active","N-Channel","MOSFET (Metal Oxide)","150 V","76A (Tc)","10V","20mOhm @ 38A, 10V","4.5V @ 250µA","97 nC @ 10 V","±20V","5800 pF @ 25 V","-","350W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","TO-263AA (IXFA)","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.littelfuse.com/~/media/electronics/datasheets/discrete_mosfets/littelfuse_discrete_mosfets_n-channel_trench_gate_ixf_102n15t_datasheet.pdf.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3995/238%7ETO263AA%7E%7E2.JPG","IXFA102N15T-ND","IXFA102N15T","Littelfuse Inc.","Littelfuse Inc.","MOSFET N-CH 150V 102A TO263","0","3.52797","0","300","Tube","HiPerFET™, Trench","Active","N-Channel","MOSFET (Metal Oxide)","150 V","102A (Tc)","10V","18mOhm @ 500mA, 10V","5V @ 1mA","87 nC @ 10 V","±20V","5220 pF @ 25 V","-","455W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","TO-263AA (IXFA)","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","-","-"
"https://www.infineon.com/dgdl/Infineon-IPI051N15N5-DS-v02_00-EN.pdf?fileId=5546d46253f650570154a043733d54c7","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4339/I2PAK-TO-262.jpg","IPI051N15N5AKSA1-ND","IPI051N15N5AKSA1","Infineon Technologies","Infineon Technologies","MV POWER MOS","0","3.53788","0","500","Tube","OptiMOS™ 5","Active","N-Channel","MOSFET (Metal Oxide)","150 V","120A (Tc)","8V, 10V","5.1mOhm @ 60A, 10V","4.6V @ 264µA","100 nC @ 10 V","±20V","7800 pF @ 75 V","-","300W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","PG-TO262-3-1","TO-262-3 Long Leads, I2PAK, TO-262AA","-","-"
"https://www.onsemi.com/pdf/datasheet/fqa90n15-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/828/TO-3P-3,TO-247-3.jpg","FQA90N15FS-ND","FQA90N15","onsemi","onsemi","MOSFET N-CH 150V 90A TO3PN","0","3.55356","0","450","Tube","QFET®","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","90A (Tc)","10V","18mOhm @ 45A, 10V","4V @ 250µA","285 nC @ 10 V","±25V","8700 pF @ 25 V","-","375W (Tc)","-55°C ~ 175°C (TJ)","Through Hole","TO-3PN","TO-3P-3, SC-65-3","-","-"
"https://www.infineon.com/dgdl/IPB065N15N3+G_Rev2.1.pdf?folderId=db3a304326623792012669f6bee2224b&fileId=db3a30432662379201266a0379d1225c","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2596/TO-263-7%2C%20D2Pak.jpg","IPB065N15N3GE8187ATMA1TR-ND","IPB065N15N3GE8187ATMA1","Infineon Technologies","Infineon Technologies","MOSFET N-CH 150V 130A TO263-7","0","3.62302","0","1000","Tape & Reel (TR)","OptiMOS™","Obsolete","N-Channel","MOSFET (Metal Oxide)","150 V","130A (Tc)","8V, 10V","6.5mOhm @ 100A, 10V","4V @ 270µA","93 nC @ 10 V","±20V","7300 pF @ 75 V","-","300W (Tc)","-55°C ~ 175°C (TJ)","Surface Mount","PG-TO263-7","TO-263-7, D2PAK (6 Leads + Tab)","-","-"
