"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","Vgs (V)","Vgs(th) Max (V)","ID Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"NVMFD5C680NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","60","Q1=Q2=28","±20","2.2","19","19","-","Q1=Q2=41","11.5","5","350","0.8","7","150","2","SO-8FL Dual / DFN-8 ","1 ","260 ","0.6212 ",
"NVMFD6H840NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","80","6.9","±20","2","74","90","N/A","8.8","15","32","2002","5.3","50","249","11","SO-8FL Dual / DFN-8 ","1 ","260 ","1.0205 ",
"NVMFD6H840NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","80","6.9","±20","2","74","90","N/A","8.8","15","32","2002","5.3","50","249","11","SO-8FL Dual / DFN-8 ","1 ","260 ","1.0205 ",
"NVMFD6H846NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","80","15","±20","2","31","34","~NA~","19","8","17","900","3","25","120","7","SO-8FL Dual / DFN-8 ","1 ","260 ","0.7579 ",
"NVMFD6H846NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","80","15","±20","2","31","34","~NA~","19","8","17","900","3","25","120","7","SO-8FL Dual / DFN-8 ","1 ","260 ","0.5261 ",
"NVMFD6H852NLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","80","25.5","±20","2","25","38","~NA~","31.5","5","10","521","1.7","20","69","4","SO-8FL Dual / DFN-8 ","1 ","260 ","0.3986 ",
"NVMFD6H852NLWFT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Dual","0","80","25.5","±20","2","25","38","~NA~","31.5","5","10","521","1.7","20","69","4","SO-8FL Dual / DFN-8 ","1 ","260 ","0.4621 ",
"NVMFWS003P03P8ZT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-30","1.8","25","-3","-234","168.7","~NA~","2.9","167","277","12120","116","116","4020","4100","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","1.1318 ",
"NVMFWS005N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","5.1","20","3","108","131","~NA~","7.1","26","55","4100","~NA~","54","1350","22","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.8889 ",
"NVMFS005N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","5.1","±20","3","108","131","~NA~","7.1","26","55","4100","~NA~","54","1350","22","SO-8FL / DFN-5 ","1 ","260 ","0.8293 ",
"NVMFS014P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","13.8","20","-2.4","-52.1","60","~NA~","19.7","12.5","26.5","1734","3.8","16.3","682","32","SO-8FL / DFN-5 ","1 ","260 ","0.346 ",
"NVMFWS014P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","13.8","20","-2.4","-52.1","60","~NA~","19.4","12.5","26.5","1734","3.8","16.3","682","32","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.3282 ",
"NVMFS015N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","12.2","±20","2.2","47.1","79","~NA~","18.3","9","19","1338","~NA~","76","521","9","SO-8FL / DFN-5 ","1 ","260 ","0.4355 ",
"NVMFWS015N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","12.2","±20","2.2","47.1","79","~NA~","18.3","9","19","1338","~NA~","76","521","9","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.4355 ",
"NVMFWS016N06CT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Single","0","60","15.6","±20","4","33","36","~NA~","~NA~","~NA~","6.9","489","~NA~","15","319","5.7","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.543 ",
"NVMFS016N06CT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Single","0","60","15.6","±20","4","33","36","~NA~","~NA~","~NA~","6.9","489","~NA~","15","319","5.7","SO-8FL / DFN-5 ","1 ","260 ","0.4727 ",
"NVMFWS016N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","14","20","3","46","64","~NA~","20","9","19","1250","~NA~","24","460","8","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.4489 ",
"NVMFS016N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","14","20","3","46","64","~NA~","20","9","19","1250","~NA~","24","460","8","SO-8FL / DFN-5 ","1 ","260 ","0.4233 ",
"NVMFWS020N06CT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Single","0","60","19.6","±20","4","28","31","~NA~","~NA~","~NA~","5.8","355","~NA~","12","260","4.9","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.5113 ",
"NVMFS020N06CT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Single","0","60","19.6","±20","4","28","31","~NA~","~NA~","~NA~","5.8","355","~NA~","12","260","4.9","SO-8FL / DFN-5 ","1 ","260 ","0.4701 ",
"NVMFWS021N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","23","20","3","31","49","~NA~","33","6","13","850","~NA~","18","310","5","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.3496 ",
"NVMFS021N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","23","20","3","31","49","~NA~","33","6","13","850","~NA~","18","310","5","SO-8FL / DFN-5 ","1 ","260 ","0.3033 ",
"NVMFS024N06CT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Single","0","60","22","±20","4","25","28","~NA~","~NA~","~NA~","5.7","333","~NA~","11","225","5.05","SO-8FL / DFN-5 ","1 ","260 ","0.4244 ",
"NVMFWS024N06CT1G","Active","H Pb A P ","N-Channel","PowerTrench® T6","Power 56 (SO-8FL)","Low-Medium Voltage","Standard","0","Single","0","60","22","±20","4","25","28","~NA~","~NA~","~NA~","5.7","333","~NA~","11","225","5.05","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.5067 ",
"NVMFS025P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","23","20","-2.4","-34.6","44.1","~NA~","37","7.56","16.3","1058","1.55","35","446","19","SO-8FL / DFN-5 ","1 ","260 ","0.2755 ",
"NVMFWS025P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","23","20","-2.4","-34.6","44.1","~NA~","37","7.56","16.3","1058","1.55","35","446","19","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.2977 ",
"NVMFS027N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","26","20","3","28","46","~NA~","35","5.5","11.5","800","1.2","17","300","4","SO-8FL / DFN-5 ","1 ","260 ","0.3437 ",
"NVMFWS027N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","26","20","3","28","46","~NA~","35","5.5","11.5","800","1.2","17","300","4","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.374 ",
"NVMFWS040N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","38","20","3","21","36","~NA~","53","4","8.3","500","~NA~","11","200","3.7","DFNW5 4.90x5.90x1.00, 1.27P ","1 ","260 ","0.3363 ",
"NVMFS040N10MCLT1G","Active","H Pb A P ","N-Channel","PowerTrench® T8","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","100","38","20","3","21","36","~NA~","53","4","8.3","500","~NA~","11","200","3.7","SO-8FL / DFN-5 ","1 ","260 ","0.2432 ",
"NVMFS2D3P04M8LT1G","Active","H Pb A P ","P-Channel","PowerTrench® T1","Power 56 (SO-8FL)","Low-Medium Voltage","Logic","0","Single","0","-40","2.2","20","-2.4","-222","205","~NA~","3.3","73.5","157","5985","~NA~","536","4228","88","DFN5 5x6, 1.27P (SO−8FL) ","1 ","260 ","2.1494 ",
