"Product Group","Status","Compliance","Channel Polarity","Silicon Family","Package Name","Type","Gate Level","Wide SOA Mosfets","Configuration","OPN in older Technology","V(BR)DSS Min (V)","RDS(on) Max @ VGS = 10 V  (mΩ)","VGS Max (V)","Vgs(th) Max (V)","Id Max (A)","PD Max (W)","RDS(on) Max @ VGS = 2.5 V  (mΩ)","RDS(on) Max @ VGS = 4.5 V  (mΩ)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Ciss Typ (pF)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Coss Typ (pF)","Crss Typ (pF)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"FDP030N06B-F102","Active","H Pb   ","N-Channel","PowerTrench® T6","TO-220","Small Signal","Standard","0","Single","0","60","3.1","±20","4","195","205","-","-","-","76","6035","12","78","1685","55","TO-220-3 ","NA ","0 ","0.9258 ",
"FDP032N08","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","75","3.2","±20","4.5","235","375","-","-","-","169","1140","47","77","1360","595","TO-220-3 ","NA ","0 ","2.4878 ",
"FDP032N08B-F102","Active","H Pb   ","N-Channel","PowerTrench® T6","TO-220","Small Signal","Standard","0","Single","0","80","3.3","±20","4.5","211","263","-","-","-","111","8245","23","102","1250","28","TO-220-3 ","NA ","0 ","1.2183 ",
"FDP036N10A","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","3.6","±20","4","214","333","-","-","-","89","5485","25","129","2430","210","TO-220-3 ","NA ","0 ","2.3012 ",
"FDP038AN06A0","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","60","3.8","±20","4","80","310","-","-","-","96","6400","27","39","1123","367","TO-220-3 ","NA ","0 ","1.7852 ",
"FDP045N10A-F102","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","100","4.5","±20","4","164","263","-","-","-","57","3960","13","120","925","34","TO-220-3 ","NA ","0 ","1.7411 ",
"FDP047AN08A0-F102","Active, Not Rec","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Logic","0","Single","0","75","4.7","±20","4","80","310","-","8.7","11","92","6600","21","54","1000","240","TO-220-3 ","NA ","0 ","3.3273 ",
"FDP047AN08A0","Active, Not Rec","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Logic","0","Single","0","75","4.7","±20","4","80","310","-","8.7","11","92","6600","21","54","1000","240","TO-220-3 ","NA ","0 ","1.6533 ",
"FDP047N08-F102","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","75","4.7","±20","4.5","164","268","-","-","-","117","7080","32","66","870","410","TO-220-3 ","NA ","0 ","1.2529 ",
"FDP047N08","Active","H Pb   ","N-Channel","PowerTrench® T1","TO-220","Small Signal","Standard","0","Single","0","75","4.7","±20","4.5","164","268","-","-","-","117","7080","32","66","870","410","TO-220-3 ","NA ","0 ","1.4061 ",
