Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
IRL2203NS,https://www.infineon.com/part/IRL2203NS,,,,,,Standard,30 V,116 A,IR MOSFET™,2 V,7 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl2203ns-datasheet-en.pdf,1 V,3 V,10 mΩ,40 nC,,
IRL3103,https://www.infineon.com/part/IRL3103,,,,,,Standard,30 V,64 A,IR MOSFET™,,12 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl3103-datasheet-en.pdf,1 V,,16 mΩ,22 nC,,
IRL3705ZL,https://www.infineon.com/part/IRL3705ZL,,,,,,Standard,55 V,86 A,IR MOSFET™,2 V,8 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irl3705z-datasheet-en.pdf,1 V,3 V,12 mΩ,40 nC,,
IRL3713,https://www.infineon.com/part/IRL3713,,,,,,Standard,30 V,260 A,IR MOSFET™,1.75 V,3 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-irl3713-datasheet-en.pdf,1 V,2.5 V,4 mΩ,75 nC,,
IRL3803V,https://www.infineon.com/part/IRL3803V,,,,,,Standard,30 V,140 A,IR MOSFET™,,5.5 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl3803v-datasheet-en.pdf,1 V,,7.5 mΩ,50.7 nC,,
IRL3803VS,https://www.infineon.com/part/IRL3803VS,,,,,,Standard,30 V,,Planar Mosfet,,5.5 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl3803vs-datasheet-en.pdf,1 V,,7.5 mΩ,,,
IRL60B216,https://www.infineon.com/part/IRL60B216,,,,,,Standard,60 V,305 A,StrongIRFET™,1.7 V,1.9 mΩ,,1.89 ,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl60b216-datasheet-en.pdf,1 V,2.4 V,2.2 mΩ,172 nC,,
IRL60SL216,https://www.infineon.com/part/IRL60SL216,,,,,,Standard,60 V,298 A,StrongIRFET™,1.7 V,1.95 mΩ,,3.51 ,N,https://www.infineon.com/assets/row/public/documents/24/49/irl60s216.pdf,1 V,2.4 V,2.2 mΩ,170 nC,,
IRL6283M,https://www.infineon.com/part/IRL6283M,,,,,,Non-Automotive,20 V,,Trench Mosfet,,0.75 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/irl6283mpbf.pdf,,,0.87 mΩ,,,
IRL6297SD,https://www.infineon.com/part/IRL6297SD,,,,,,Standard,20 V,15 A,StrongIRFET™,0.8 V,,,0.44 ,"N+N, N+N",https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl6297sd-datasheet-en.pdf,0.5 V,1.1 V,4.9 mΩ,54 nC,,
IRL8113,https://www.infineon.com/part/IRL8113,,,,,,Standard,30 V,105 A,IR MOSFET™,1.8 V,6 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl8113-datasheet-en.pdf,1.35 V,2.25 V,7.1 mΩ,23 nC,,
IRL8113S,https://www.infineon.com/part/IRL8113S,,,,,,Non-Automotive,30 V,,Trench Mosfet,,6 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl8113-datasheet-en.pdf,1.35 V,2.25 V,7.1 mΩ,,,
IRL8114,https://www.infineon.com/part/IRL8114,,,,,,Standard,30 V,120 A,IR MOSFET™,1.8 V,4.5 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irl8114-datasheet-en.pdf,1.35 V,2.25 V,5.8 mΩ,19 nC,,
IRLH5036,https://www.infineon.com/part/IRLH5036,,,,,,Standard,60 V,,Trench Mosfet,,4.4 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irlh5036-datasheet-en.pdf,,,5.5 mΩ,,,
IRLI2910,https://www.infineon.com/part/IRLI2910,,,,,,Standard,100 V,31 A,IR MOSFET™,1.5 V,26 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irli2910-ds-en.pdf,1 V,2 V,40 mΩ,93.3 nC,,
IRLIZ44N,https://www.infineon.com/part/IRLIZ44N,,,,,,Standard,55 V,30 A,IR MOSFET™,1.5 V,22 mΩ,,,N,https://www.infineon.com/assets/row/public/documents/non-assigned/49/infineon-irliz44n-ds-en.pdf,1 V,2 V,35 mΩ,32 nC,,
