Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,Polarity,Datasheet link,VGS(th),VGS(th) min,VGS(th) max,RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,QG (typ @10V) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max
IPP65R110CFD,https://www.infineon.com/part/IPP65R110CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R110CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,31.2 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r110cfd-ds-en.pdf,4 V,3.5 V,4.5 V,110 mΩ,118 nC,2.25 ,,,,
IPP65R190CFD,https://www.infineon.com/part/IPP65R190CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R190CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,17.5 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,4 V,3.5 V,4.5 V,190 mΩ,68 nC,1.13 ,,,,
IPA65R190CFD,https://www.infineon.com/part/IPA65R190CFD,https://www.infineon.com/package/PG-TO220-3-313,active,IPA65R190CFDXKSA2,PG-TO220-3,TO220 FullPAK,Industrial,650 V,17.5 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,4 V,3.5 V,4.5 V,190 mΩ,68 nC,1.13 ,,,,
IPW65R041CFD,https://www.infineon.com/part/IPW65R041CFD,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R041CFDFKSA2,PG-TO247-3,TO247,Industrial,650 V,68.5 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r041cfd-ds-v02-00-en.pdf,4 V,3.5 V,4.5 V,41 mΩ,300 nC,5.67 ,,,,
IPZ65R019C7,https://www.infineon.com/part/IPZ65R019C7,https://www.infineon.com/package/PG-TO247-4-1,active,IPZ65R019C7XKSA1,PG-TO247-4,TO247 4-pin,Industrial,650 V,75 A,CoolMOS™ C7,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipz65r019c7-ds-en.pdf,3.5 V,3 V,4 V,19 mΩ,215 nC,11.07 ,,,,
IPA60R600P6,https://www.infineon.com/part/IPA60R600P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R600P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,4.9 A,CoolMOS™ P6,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r600p6-datasheet-en.pdf,4 V,3.5 V,4.5 V,600 mΩ,12 nC,0.51 ,,,,
IPB65R150CFD,https://www.infineon.com/part/IPB65R150CFD,https://www.infineon.com/package/PG-TO263-3-2,active,IPB65R150CFDATMA2,PG-TO263-3,D2PAK,Industrial,650 V,22.4 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r150cfd-ds-en.pdf,4 V,3.5 V,4.5 V,150 mΩ,86 nC,1.41 ,,,,
SPB21N50C3,https://www.infineon.com/part/SPB21N50C3,https://www.infineon.com/package/PG-TO263-3-2,active,SPB21N50C3ATMA1,PG-TO263-3,D2PAK,Industrial,500 V,21 A,CoolMOS™ C3,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spb21n50c3-ds-en.pdf,,2.1 V,3.9 V,,95 nC,1.41 ,,,,
IPA50R380CE,https://www.infineon.com/part/IPA50R380CE,https://www.infineon.com/package/PG-TO220-3-312,active,IPA50R380CEXKSA2,PG-TO220-3,TO220 FullPAK,Standard,500 V,9.9 A,CoolMOS™ CE,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r380ce-ds-en.pdf,3 V,2.5 V,3.5 V,380 mΩ,32 nC,0.36 ,,,,
IPB65R190CFD,https://www.infineon.com/part/IPB65R190CFD,https://www.infineon.com/package/PG-TO263-3-2,active,IPB65R190CFDATMA2,PG-TO263-3,D2PAK,Industrial,650 V,17.5 A,CoolMOS™ CFD2,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,4 V,3.5 V,4.5 V,190 mΩ,68 nC,1.13 ,,,,
