"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"TK25S06N1L","Datasheet","N-ch MOSFET, 60 V, 25 A, 0.0185 Ω@10V, DPAK+","","N-ch","60","+/-20","25","57","855","15","","34","27","","","","","","0.0368","","","0.0185","","3","Y","DPAK+","U-MOSⅧ-H","","6.5 x 9.5 x 2.3","61.75","Logic-Level Gate Drive"
"TK25V60X","Datasheet","N-ch MOSFET, 600 V, 0.135 Ω@10V, DFN 8 x 8, DTMOSⅣ-H","","N-ch","600","+/-30","25","180","2400","40","","400","3300","","","","","","","","","0.135","","5","Y","DFN 8 x 8","DTMOSⅣ-H","High-speed switching","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
"TK25V60X5","Datasheet","N-ch MOSFET, 600 V, 0.15 Ω@10V, DFN 8 x 8, DTMOSⅣ-H","","N-ch","600","+/-30","25","180","2400","60","","120","600","","","","","","","","","0.15","","5","Y","DFN 8 x 8","DTMOSⅣ-H","High-speed switching / High-speed diode","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
"TK25Z60X","Datasheet","N-ch MOSFET, 600 V, 0.125 Ω@10V, TO-247-4L, DTMOSⅣ-H","","N-ch","600","+/-30","25","180","2400","40","","400","3300","","","","","","","","","0.125","","4","N","TO-247-4L","DTMOSⅣ-H","High-speed switching","15.94 x 20.95 x 5.0","333.94","10V Gate Drive"
"TK28A65W","Datasheet","N-ch MOSFET, 650 V, 0.11 Ω@10V, TO-220SIS, DTMOSⅣ","","N-ch","650","+/-30","27.6","45","3000","75","","410","3500","","","","","","","","","0.11","","3","N","TO-220SIS","DTMOSⅣ","","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK28E65W","Datasheet","N-ch MOSFET, 650 V, 0.11 Ω@10V, TO-220, DTMOSⅣ","","N-ch","650","+/-30","27.6","230","3000","75","","410","3500","","","","","","","","","0.11","","3","N","TO-220","DTMOSⅣ","","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK28N65W","Datasheet","N-ch MOSFET, 650 V, 0.11 Ω@10V, TO-247, DTMOSⅣ","","N-ch","650","+/-30","27.6","230","3000","75","","410","3500","","","","","","","","","0.11","","3","N","TO-247","DTMOSⅣ","","15.94 x 20.95 x 5.02","333.94","10V Gate Drive"
"TK28N65W5","Datasheet","N-ch MOSFET, 650 V, 0.13 Ω@10V, TO-247, DTMOSⅣ","","N-ch","650","+/-30","27.6","230","3000","90","","115","690","","","","","","","","","0.13","","3","N","TO-247","DTMOSⅣ","High-speed diode","15.94 x 20.95 x 5.02","333.94","10V Gate Drive"
"TK28V65W","Datasheet","N-ch MOSFET, 650 V, 0.12 Ω@10V, DFN 8 x 8, DTMOSⅣ","","N-ch","650","+/-30","27.6","240","3000","75","","410","3500","","","","","","","","","0.12","","5","Y","DFN 8 x 8","DTMOSⅣ","","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
"TK28V65W5","Datasheet","N-ch MOSFET, 650 V, 0.14 Ω@10V, DFN 8 x 8, DTMOSⅣ","","N-ch","650","+/-30","27.6","240","3000","90","","115","690","","","","","","","","","0.14","","5","Y","DFN 8 x 8","DTMOSⅣ","High-speed diode","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
