"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"SSM6K504NU","Datasheet","N-ch MOSFET, 30 V, 9.0 A, 0.0195 Ω@10V, SOT-1220(UDFN6B)","","N-ch","30","+/-20","9.0","1.25","620","4.8","","","","","","","","","0.026","","","0.0195","","6","Y","SOT-1220 (UDFN6B)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Logic-Level Gate Drive"
"SSM6K513NU","Datasheet","N-ch MOSFET, 30 V, 15 A, 0.0089 Ω@10V, SOT-1220(UDFN6B)","","N-ch","30","+/-20","15","1.25","1130","7.5","","","","","","","","","0.012","","","0.0089","","6","Y","SOT-1220 (UDFN6B)","U-MOSⅨ-H","","2.0 x 2.0 x 0.75","4.00","Logic-Level Gate Drive"
"SSM6K514NU","Datasheet","N-ch MOSFET, 40 V, 12 A, 0.0116 Ω@10V, SOT-1220(UDFN6B)","","N-ch","40","+/-20","12","1.25","1110","7.5","","","","","","","","","0.0173","","","0.0116","","6","Y","SOT-1220 (UDFN6B)","U-MOSⅨ-H","","2.0 x 2.0 x 0.75","4.00","Logic-Level Gate Drive"
"SSM6K516NU","Datasheet","N-ch MOSFET, 30 V, 6 A, 0.046 Ω@10V, SOT-1220(UDFN6B)","","N-ch","30","+20/-12","6","1.25","280","2.5","","","","","","","","","0.064","","","0.046","","6","Y","SOT-1220 (UDFN6B)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Logic-Level Gate Drive"
"SSM6K517NU","Datasheet","N-ch MOSFET, 30 V, 6 A, 0.0391 Ω@4.5V, SOT-1220(UDFN6B)","","N-ch","30","+12/-8","6","1.25","310","3.2","","","","","","0.082","0.053","","0.0391","","","","","6","Y","SOT-1220 (UDFN6B)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6K518NU","Datasheet","N-ch MOSFET, 20 V, 6 A, 0.033 Ω@4.5V, SOT-1220(UDFN6B)","","N-ch","20","+/-8","6","1.25","410","3.6","","","","","0.108","0.074","0.045","","0.033","","","","","6","Y","SOT-1220 (UDFN6B)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6K781G","Datasheet","N-ch MOSFET, 12 V, 7.0 A, 0.018 Ω@4.5V, WCSP6C","","N-ch","12","+/-8","7.0","1.6","600","5.4","","","","","0.124","0.0474","0.0232","","0.018","","","","","6","Y","WCSP6C","U-MOSⅦ-H","","1.5 x 1.0 x 0.5","1.50","Low Voltage Gate Drive"
"SSM6K804R","Datasheet","N-ch, MOSFET, 40V, 12A, 18mΩ@4.5V, TSOP6F","","N-ch","40","+/-20","12","3","1110","7.5","","","","","","","","","0.018","","","0.012","","6","Y","TSOP6F","U-MOSⅨ-H","","2.9 x 2.8 x 0.8","8.12","Logic-Level Gate Drive"
"SSM6K809R","Datasheet","N-ch MOSFET, 60 V, 6.0 A, 0.036 Ω@10V, TSOP6F","","N-ch","60","+/-20","6.0","1.5","550","9.3","","","","","","","","0.069","0.051","","","0.036","","6","Y","TSOP6F","U-MOSⅧ-H","","2.9 x 2.8 x 0.8","8.12","Logic-Level Gate Drive"
"SSM6K810R","Datasheet","N-ch MOSFET, 100 V, 3.5 A, 0.069 Ω@10V, TSOP6F","","N-ch","100","+/-20","3.5","1.5","430","3.2","","","","","","","","","0.092","","","0.069","","6","Y","TSOP6F","U-MOSⅧ-H","","2.9 x 2.8 x 0.8","8.12","Logic-Level Gate Drive"
"SSM6K818R","Datasheet","N-ch MOSFET, 30 V, 15 A, 0.0089 Ω@10V, TSOP6F","","N-ch","30","+/-20","15","1.5","1130","7.5","","","","","","","","","0.012","","","0.0089","","6","Y","TSOP6F","U-MOSⅨ-H","","2.9 x 2.8 x 0.8","8.12","Logic-Level Gate Drive"
"SSM6K819R","Datasheet","N-ch MOSFET, 100 V, 10 A, 0.0258 Ω@10V, TSOP6F","","N-ch","100","+/-20","10","1.5","1110","8.5","","","","","","","","","0.0364","","","0.0258","","6","Y","TSOP6F","U-MOSⅧ-H","","2.9 x 2.8 x 0.8","8.12","Logic-Level Gate Drive"
"SSM6K824R","Datasheet","","","N-ch","20","+/-8","6","1.5","410","3.6","","","","","0.108","0.074","0.045","","0.033","","","","","6","Y","TSOP6F","U-MOSⅦ-H","","2.9 x 2.8 x 0.8","8.12","Low Voltage Gate Drive"
"SSM6L12TU","Datasheet","N-ch + P-ch MOSFET, 30 V/-20 V, 0.5 A/-0.5 A, 0.145 Ω@4.5V/0.43 Ω@2.5V, SOT-363F(UF6)","","N-ch + P-ch","30","+/-12","0.5","0.5","245","","","","","","","","0.18","","0.145","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ / U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6L14FE","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 0.8 A/-0.72 A, 0.24 Ω@4.5V/0.3 Ω@4.5V, SOT-563(ES6)","","N-ch + P-ch","20","+/-10","0.8","0.15","90","2.0","","","","","0.6","0.45","0.33","","0.24","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ / U-MOSⅤ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6L35FE","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 0.18 A/-0.1 A, 4.0 Ω@2.5V/11 Ω@2.5V, SOT-563(ES6)","","N-ch + P-ch","20","+/-10","0.18","0.15","9.5","","","","","20","8.0","","4.0","3.0","","","","","","6","Y","SOT-563 (ES6)","π-MOSⅥ / π-MOSⅥ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6L35FU","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 0.18 A/-0.1 A, 4.0 Ω@2.5V/11 Ω@2.5V, SOT-363(US6)","","N-ch + P-ch","20","+/-10","0.18","0.2","9.5","","","","","20","8.0","","4.0","3.0","","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ / π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6L36FE","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 0.5 A/-0.33 A, 0.66 Ω@4.5V/1.31 Ω@4.5V, SOT-563(ES6)","","N-ch + P-ch","20","+/-10","0.5","0.15","46","1.23","","","","","1.52","1.14","0.85","","0.66","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ / U-MOSⅢ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6L36TU","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 0.5 A/-0.33 A, 0.66 Ω@4.5V/1.31 Ω@4.5V, SOT-363F(UF6)","","N-ch + P-ch","20","+/-10","0.5","0.5","46","1.23","","","","","1.52","1.14","0.85","","0.66","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ / U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6L39TU","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 1.6 A/-1.5 A, 0.139 Ω@2.5V/0.294 Ω@2.5V, SOT-363F(UF6)","","N-ch + P-ch","20","+/-10","1.6","0.5","260","7.5","","","","","0.247","0.19","0.139","0.119","","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ / U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6L40TU","Datasheet","N-ch + P-ch MOSFET, 30 V/-30 V, 1.6 A/-1.4 A, 0.122 Ω@10V/0.226 Ω@10V, SOT-363F(UF6)","","N-ch + P-ch","30","+/-20","1.6","0.5","180","5.1","","","","","","","","0.182","","","","0.122","","6","Y","SOT-363F (UF6)","U-MOSⅢ / U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM6L56FE","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 0.8 A/-0.8 A, 0.235 Ω@4.5V/0.39 Ω@4.5V, SOT-563(ES6)","","N-ch + P-ch","20","+/-8","0.8","0.15","55","1.0","","","","","0.84","0.48","0.3","","0.235","","","","","6","Y","SOT-563 (ES6)","U-MOSⅦ-H / U-MOSⅥ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6L61NU","Datasheet","N-ch + P-ch MOSFET, 20 V/-20 V, 4.0 A/-4.0 A, 0.033 Ω@4.5V/0.045 Ω@10V, SOT-1118(UDFN6)","","N-ch + P-ch","20","+/-8","4.0","1.0","410","3.6","","","","","0.108","0.074","0.045","","0.033","","","","","6","Y","SOT-1118 (UDFN6)","U-MOSⅦ-H / U-MOSⅥ","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6L807R","Datasheet","N-ch + P-ch MOSFET, 30 V/-20 V, 4 A/-4 A, 0.0391 Ω@4.5V/0.045 Ω@10V, TSOP6F","","N-ch + P-ch","30","+/-12","4","1.4","310","3.2","","","","","","0.082","0.053","","0.0391","","","","","6","Y","TSOP6F","U-MOSⅦ-H / U-MOSⅥ","","2.9 x 2.8 x 0.8","8.12","Low Voltage Gate Drive"
"SSM6L820R","Datasheet","N-ch + P-ch MOSFET, 30 V/-20 V, 4 A/-4 A, 0.0391 Ω@4.5V/0.045 Ω@10V, TSOP6F","","N-ch + P-ch","30","-8/+12","4","1.4","310","3.2","","","","","","0.082","0.053","","0.0391","","","","","6","Y","TSOP6F","U-MOSⅦ-H / U-MOSⅥ","","2.9 x 2.8 x 0.8","8.12","Low Voltage Gate Drive"
"SSM6N09FU","Datasheet","N-ch x 2 MOSFET, 30 V, 0.4 A, 0.7 Ω@10V, SOT-363(US6)","","N-ch x 2","30","+/-20","0.4","0.3","20","","","","","","","","","1.2","","","","0.7","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N15AFE","Datasheet","N-ch x 2 MOSFET, 30 V, 0.1 A, 3.6 Ω@4V, SOT-563(ES6)","","N-ch x 2","30","+/-20","0.1","0.15","13.5","","","","","","","","6.0","3.6","","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N15AFU","Datasheet","N-ch x 2 MOSFET, 30 V, 0.1 A, 3.6 Ω@4V, SOT-363(US6)","","N-ch x 2","30","+/-20","0.1","0.3","13.5","","","","","","","","6.0","3.6","","","","","","6","Y","SOT-363 (US6)","U-MOSⅢ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N15FU","Datasheet","N-ch x 2 MOSFET, 30 V, 0.1 A, 4 Ω@4V, SOT-363(US6)","","N-ch x 2","","","","","","","","","","","","","","","","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20",""
"SSM6N16FE","Datasheet","N-ch x 2 MOSFET, 20 V, 0.1 A, 3.0 Ω@4V, SOT-563(ES6)","","N-ch x 2","20","+/-10","0.1","0.15","9.3","","","","","","15","","4.0","3.0","","","","","","6","Y","SOT-563 (ES6)","π-MOSⅥ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N16FU","Datasheet","N-ch x 2 MOSFET, 20 V, 0.1 A, 3.0 Ω@4V, SOT-363(US6)","","N-ch x 2","20","+/-10","0.1","0.2","9.3","","","","","","15","","4.0","3.0","","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N17FU","Datasheet","N-ch x 2 MOSFET, 50 V, 0.1 A, 20 Ω@4V, SOT-363(US6)","","N-ch x 2","50","+/-7","0.1","0.2","7.0","","","","","","","","40","20","","","","","","6","Y","SOT-363 (US6)","π-MOSⅤ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N24TU","Datasheet","N-ch x 2 MOSFET, 30 V, 0.5 A, 0.145 Ω@4.5V, SOT-363F(UF6)","","N-ch x 2","30","+/-12","0.5","0.5","245","","","","","","","","0.18","","0.145","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6N357R","Datasheet","N-ch x 2 MOSFET, 60 V, 0.65 A, 1.8 Ω@5V, TSOP6F","","N-ch x 2","60","+/-12","0.65","1.0","43","1.5","","","","","","","","","","","","","","6","Y","TSOP6F","π-MOSⅤ","","2.9 x 2.8 x 0.8","8.12","Low Voltage Gate Drive"
"SSM6N35AFE","Datasheet","N-ch x 2 MOSFET, 20 V, 0.25 A, 1.1 Ω@4.5V, SOT-563(ES6)","","N-ch x 2","20","+/-10","0.25","0.15","18","0.34","","","","9.0","3.1","2.4","1.6","","1.1","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N35AFU","Datasheet","N-ch x 2 MOSFET, 20 V, 0.25 A, 1.1 Ω@4.5V, SOT-363(US6)","","N-ch x 2","20","+/-10","0.25","0.285","18","0.34","","","","9.0","3.1","2.4","1.6","","1.1","","","","","6","Y","SOT-363 (US6)","U-MOSⅢ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N35FE","Datasheet","N-ch x 2 MOSFET, 20 V, 0.18 A, 3.0 Ω@4V, SOT-563(ES6)","","N-ch x 2","20","+/-10","0.18","0.15","9.5","","","","","20","8.0","","4.0","3.0","","","","","","6","Y","SOT-563 (ES6)","π-MOSⅥ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N35FU","Datasheet","N-ch x 2 MOSFET, 20 V, 0.18 A, 3.0 Ω@4V, SOT-363(US6)","","N-ch x 2","20","+/-10","0.18","0.2","9.5","","","","","20","8.0","","4.0","3.0","","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N36FE","Datasheet","N-ch x 2 MOSFET, 20 V, 0.5 A, 0.66 Ω@4.5V, SOT-563(ES6)","","N-ch x 2","20","+/-10","0.5","0.15","46","1.23","","","","","1.52","1.14","0.85","","0.66","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ","High-speed switching","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N36TU","Datasheet","N-ch x 2 MOSFET, 20 V, 0.5 A, 0.66 Ω@4.5V, SOT-363F(UF6)","","N-ch x 2","20","+/-10","0.5","0.5","46","1.23","","","","","1.52","1.14","0.85","","0.66","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ","High-speed switching","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6N37FE","Datasheet","N-ch x 2 MOSFET, 20 V, 0.25 A, 2.2 Ω@4.5V, SOT-563(ES6)","","N-ch x 2","20","+/-10","0.25","0.15","12","","","","","","5.6","4.05","3.02","","2.2","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N37FU","Datasheet","N-ch x 2 MOSFET, 20 V, 0.25 A, 2.2 Ω@4.5V, SOT-363(US6)","","N-ch x 2","20","+/-10","0.25","0.3","12","","","","","","5.6","4.05","3.02","","2.2","","","","","6","Y","SOT-363 (US6)","U-MOSⅢ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N39TU","Datasheet","N-ch x 2 MOSFET, 20 V, 1.6 A, 0.119 Ω@4V, SOT-363F(UF6)","","N-ch x 2","20","+/-10","1.6","0.5","260","7.5","","","","","0.247","0.19","0.139","0.119","","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6N40TU","Datasheet","N-ch x 2 MOSFET, 30 V, 1.6 A, 0.122 Ω@10V, SOT-363F(UF6)","","N-ch x 2","30","+/-20","1.6","0.5","180","5.1","","","","","","","","0.182","","","","0.122","","6","Y","SOT-363F (UF6)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM6N43FU","Datasheet","N-ch x 2 MOSFET, 20 V, 0.5 A, 0.66 Ω@4.5V, SOT-363(US6)","","N-ch x 2","20","+/-10","0.5","0.2","46","1.23","","","","","1.52","1.14","0.85","","0.66","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N44FE","Datasheet","N-ch x 2 MOSFET, 30 V, 0.1 A, 4.0 Ω@4V, SOT-563(ES6)","","N-ch x 2","30","+/-20","0.1","0.15","8.5","","","","","","","","7.0","4.0","","","","","","6","Y","SOT-563 (ES6)","π-MOSⅥ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N44FU","Datasheet","N-ch x 2 MOSFET, 30 V, 0.1 A, 4.0 Ω@4V, SOT-363(US6)","","N-ch x 2","30","+/-20","0.1","0.2","8.5","","","","","","","","7.0","4.0","","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N55NU","Datasheet","N-ch x 2 MOSFET, 30 V, 4.0 A, 0.046 Ω@10V, SOT-1118(UDFN6)","","N-ch x 2","30","+/-20","4.0","1.0","280","2.5","","","","","","","","","0.064","","","0.046","","6","Y","SOT-1118 (UDFN6)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Logic-Level Gate Drive"
"SSM6N56FE","Datasheet","N-ch x 2 MOSFET, 20 V, 0.8 A, 0.235 Ω@4.5V, SOT-563(ES6)","","N-ch x 2","20","+/-8","0.8","0.15","55","1.0","","","","","0.84","0.48","0.3","","0.235","","","","","6","Y","SOT-563 (ES6)","U-MOSⅦ-H","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N57NU","Datasheet","N-ch x 2 MOSFET, 30 V, 4.0 A, 0.0391 Ω@4.5V, SOT-1118(UDFN6)","","N-ch x 2","30","+/-12","4.0","1.0","310","3.2","","","","","","0.082","0.053","","0.0391","","","","","6","Y","SOT-1118 (UDFN6)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6N58NU","Datasheet","N-ch x 2 MOSFET, 30 V, 4.0 A, 0.084 Ω@4.5V, SOT-1118(UDFN6)","","N-ch x 2","30","+/-12","4.0","1.0","129","1.8","","","","","","0.18","0.117","","0.084","","","","","6","Y","SOT-1118 (UDFN6)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6N61NU","Datasheet","N-ch x 2 MOSFET, 20 V, 4.0 A, 0.033 Ω@4.5V, SOT-1118(UDFN6)","","N-ch x 2","20","+/-8","4.0","1.0","410","3.6","","","","","0.108","0.074","0.045","","0.033","","","","","6","Y","SOT-1118 (UDFN6)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6N62TU","Datasheet","N-ch x 2 MOSFET, 20 V, 0.8 A, 0.085 Ω@4.5V, SOT-363F(UF6)","","N-ch x 2","20","+/-8","0.8","0.5","177","2.0","","","","0.456","0.173","0.12","0.098","","0.085","","","","","6","Y","SOT-363F (UF6)","U-MOSⅦ-H","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6N67NU","Datasheet","N-ch x 2 MOSFET, 30 V, 4.0 A, 0.0391 Ω@4.5V, SOT-1118(UDFN6)","","N-ch x 2","30","+12/-8","4.0","1.0","310","3.2","","","","","","0.082","0.053","","0.0391","","","","","6","Y","SOT-1118 (UDFN6)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6N68NU","Datasheet","N-ch x 2 MOSFET, 30 V, 4.0 A, 0.084 Ω@4.5V, SOT-1118(UDFN6)","","N-ch x 2","30","+12/-8","4.0","1.0","129","1.8","","","","","","0.18","0.117","","0.084","","","","","6","Y","SOT-1118 (UDFN6)","U-MOSⅦ-H","","2.0 x 2.0 x 0.75","4.00","Low Voltage Gate Drive"
"SSM6N7002BFE","Datasheet","N-ch x 2 MOSFET, 60 V, 0.2 A, 2.1 Ω@10V, SOT-563(ES6)","","N-ch x 2","60","+/-20","0.2","0.15","17","","","","","","","","","","3.3","","","2.1","","6","Y","SOT-563 (ES6)","U-MOSⅣ","","1.6 x 1.6 x 0.55","2.56","Logic-Level Gate Drive"
"SSM6N7002CFU","Datasheet","N-ch x 2 MOSFET, 60 V, 0.17 A, 3.9 Ω@10V, SOT-363(US6)","","N-ch x 2","60","+20/-20","0.17","0.285","11","0.27","","","","","","","","","4.7","","","3.9","","6","Y","SOT-363 (US6)","U-MOSⅦ-H","","2.0 x 2.1 x 0.9","4.20","Logic-Level Gate Drive"
"SSM6N7002KFU","Datasheet","N-ch x 2 MOSFET, 60 V, 0.3 A, 1.5 Ω@10V, SOT-363(US6)","","N-ch x 2","60","+/-20","0.3","0.285","26","0.39","","","","","","","","","1.75","","","1.5","","6","Y","SOT-363 (US6)","U-MOSⅦ-H","","2.0 x 2.1 x 0.9","4.20","Logic-Level Gate Drive"
"SSM6N79FE","Datasheet","N-ch MOSFET, low leakage current, 2-in-1, 30 V, 0.1 A, 3.6 Ω@4 V, ES6","New Product","N-ch x 2","30","+/-20","0.1","0.15","13.5","","","","","","","","6.0","3.6","","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6N79FU","Datasheet","N-ch MOSFET, low leakage current, 2-in-1, 30 V, 0.1 A, 3.6 Ω@4 V, US6","New Product","N-ch x 2","30","+/-20","0.1","0.3","13.5","","","","","","","","6.0","3.6","","","","","","6","Y","SOT-363 (US6)","U-MOSⅢ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6N813R","Datasheet","N-ch x 2 MOSFET, 100 V, 3.5 A, 0.112 Ω@10V, TSOP6F","","N-ch x 2","100","+/-20","3.5","1.5","242","3.6","","","","","","","","","0.154","","","0.112","","6","Y","TSOP6F","U-MOSⅧ-H","","2.9 x 2.8 x 0.8","8.12","Logic-Level Gate Drive"
"SSM6N815R","Datasheet","N-ch x 2 MOSFET, 100 V, 2.0 A, 0.103 Ω@10V, TSOP6F","","N-ch x 2","100","+/-20","2.0","1.4","290","3.1","","","","","","","","0.18","0.142","","","0.103","","6","Y","TSOP6F","U-MOSⅧ-H","","2.9 x 2.8 x 0.8","8.12","Logic-Level Gate Drive"
"SSM6N951L","Datasheet","N-ch x 2 Common-drain MOSFET, 12 V, 8 A, 0.0051 Ω@4.5V, TCSP6A-172101","","N-ch x 2","","+/-8","","0.7","","","","","","","","","","","","","","","","6","Y","TCSP6A-172101","U-MOSⅧ-R","","2.14 x 1.67 x 0.11","3.57","Low Voltage Gate Drive"
"SSM6P15FE","Datasheet","P-ch x 2 MOSFET, -30 V, -0.1 A, 12 Ω@4V, SOT-563(ES6)","","P-ch x 2","-30","+/-20","-0.1","0.15","9.1","","","","","","","","32","12","","","","","","6","Y","SOT-563 (ES6)","π-MOSⅥ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6P15FU","Datasheet","P-ch x 2 MOSFET, -30 V, -0.1 A, 12 Ω@4V, SOT-363(US6)","","P-ch x 2","-30","+/-20","-0.1","0.2","9.1","","","","","","","","32","12","","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6P35AFE","Datasheet","P-ch x 2 MOSFET, -20 V, -0.25 A, 1.4 Ω@4.5V, SOT-563(ES6)","","P-ch x 2","-20","+/-10","-0.25","0.15","21","","","","","20","4.0","2.9","2.1","","1.4","","","","","6","Y","SOT-563 (ES6)","U-MOSⅦ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6P35AFU","Datasheet","P-ch x 2 MOSFET, -20 V, -0.25 A, 1.4 Ω@4.5V, SOT-363(US6)","","P-ch x 2","-20","+/-10","-0.25","0.285","21","","","","","20","4.0","2.9","2.1","","1.4","","","","","6","Y","SOT-363 (US6)","U-MOSⅦ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6P35FE","Datasheet","P-ch x 2 MOSFET, -20 V, -0.1 A, 8.0 Ω@4V, SOT-563(ES6)","","P-ch x 2","-20","+/-10","-0.1","0.15","12.2","","","","","44","22","","11","8.0","","","","","","6","Y","SOT-563 (ES6)","π-MOSⅥ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6P35FU","Datasheet","P-ch x 2 MOSFET, -20 V, -0.1 A, 8.0 Ω@4V, SOT-363(US6)","","P-ch x 2","-20","+/-10","-0.1","0.2","12.2","","","","","44","22","","11","8.0","","","","","","6","Y","SOT-363 (US6)","π-MOSⅥ","","2.0 x 2.1 x 0.9","4.20","Low Voltage Gate Drive"
"SSM6P36FE","Datasheet","P-ch x 2 MOSFET, -20 V, -0.33 A, 1.31 Ω@4.5V, SOT-563(ES6)","","P-ch x 2","-20","+/-8","-0.33","0.15","43","1.2","","","","","3.6","2.7","","","1.31","","","","","6","Y","SOT-563 (ES6)","U-MOSⅢ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
"SSM6P36TU","Datasheet","P-ch x 2 MOSFET, -20 V, -0.33 A, 1.31 Ω@4.5V, SOT-363F(UF6)","","P-ch x 2","-20","+/-8","-0.33","0.5","43","1.2","","","","","3.6","2.7","","","1.31","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6P39TU","Datasheet","P-ch x 2 MOSFET, -20 V, -1.5 A, 0.213 Ω@4V, SOT-363F(UF6)","","P-ch x 2","-20","+/-8","-1.5","0.5","250","6.4","","","","","","0.43","0.294","0.213","","","","","","6","Y","SOT-363F (UF6)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Low Voltage Gate Drive"
"SSM6P40TU","Datasheet","P-ch x 2 MOSFET, -30 V, -1.4 A, 0.226 Ω@10V, SOT-363F(UF6)","","P-ch x 2","-30","+/-20","-1.4","0.5","120","2.9","","","","","","","","0.403","","","","0.226","","6","Y","SOT-363F (UF6)","U-MOSⅢ","","2.0 x 2.1 x 0.7","4.20","Logic-Level Gate Drive"
"SSM6P41FE","Datasheet","P-ch x 2 MOSFET, -20 V, -0.72 A, 0.3 Ω@4.5V, SOT-563(ES6)","","P-ch x 2","-20","+/-8","-0.72","0.15","110","1.76","","","","","1.04","0.67","0.44","","0.3","","","","","6","Y","SOT-563 (ES6)","U-MOSⅤ","","1.6 x 1.6 x 0.55","2.56","Low Voltage Gate Drive"
